epoch,AP@[IoU=0.50:0.95|area=all|maxDets=100],AP@[IoU=0.50|area=all|maxDets=100],AP@[IoU=0.75|area=all|maxDets=100],AP@[IoU=0.50:0.95|area=small|maxDets=100],AP@[IoU=0.50:0.95|area=medium|maxDets=100],AP@[IoU=0.50:0.95|area=large|maxDets=100],AR@[IoU=0.50:0.95|area=all|maxDets=1],AR@[IoU=0.50:0.95|area=all|maxDets=10],AR@[IoU=0.50:0.95|area=all|maxDets=100],AR@[IoU=0.50:0.95|area=small|maxDets=100],AR@[IoU=0.50:0.95|area=medium|maxDets=100],AR@[IoU=0.50:0.95|area=large|maxDets=100],mean_loss,learning_rate
epoch:0,0.4556,0.6120,0.5405,0.2345,0.3549,0.4565,0.6572,0.6662,0.6662,0.2875,0.5871,0.6670,0.1472,0.010000
epoch:1,0.5198,0.6837,0.6165,0.2879,0.3892,0.5206,0.6838,0.6919,0.6919,0.3125,0.5796,0.6928,0.1073,0.010000
epoch:2,0.5471,0.7092,0.6511,0.2500,0.4022,0.5481,0.6931,0.7010,0.7010,0.3000,0.5924,0.7015,0.0986,0.010000
epoch:3,0.6109,0.7668,0.7145,0.4256,0.5428,0.6115,0.7426,0.7503,0.7503,0.4375,0.6729,0.7512,0.0824,0.003300
epoch:4,0.6244,0.7792,0.7258,0.3376,0.5907,0.6249,0.7442,0.7517,0.7517,0.3875,0.6941,0.7524,0.0785,0.003300
epoch:5,0.6398,0.7958,0.7482,0.3768,0.5613,0.6400,0.7454,0.7526,0.7526,0.4125,0.7037,0.7530,0.0757,0.003300
epoch:6,0.6760,0.8218,0.7876,0.4780,0.6472,0.6759,0.7678,0.7750,0.7750,0.4875,0.7299,0.7753,0.0671,0.001089
epoch:7,0.6842,0.8300,0.7927,0.4131,0.6682,0.6842,0.7691,0.7765,0.7765,0.4125,0.7378,0.7768,0.0646,0.001089
epoch:8,0.6935,0.8381,0.7997,0.5009,0.6743,0.6935,0.7760,0.7834,0.7834,0.5375,0.7389,0.7837,0.0626,0.001089
epoch:9,0.7035,0.8466,0.8086,0.4505,0.6874,0.7035,0.7812,0.7880,0.7880,0.4750,0.7470,0.7883,0.0588,0.000359
epoch:10,0.7125,0.8532,0.8203,0.4881,0.6949,0.7125,0.7878,0.7945,0.7945,0.4875,0.7472,0.7947,0.0578,0.000359
epoch:11,0.7128,0.8544,0.8195,0.4631,0.6968,0.7129,0.7866,0.7938,0.7938,0.4625,0.7532,0.7940,0.0569,0.000359
epoch:12,0.7154,0.8561,0.8216,0.4881,0.7018,0.7156,0.7878,0.7945,0.7945,0.4875,0.7515,0.7948,0.0554,0.000119
epoch:13,0.7163,0.8580,0.8214,0.4756,0.7086,0.7163,0.7886,0.7953,0.7953,0.4875,0.7565,0.7955,0.0550,0.000119
epoch:14,0.7201,0.8601,0.8274,0.5007,0.7078,0.7202,0.7914,0.7982,0.7982,0.5000,0.7570,0.7985,0.0546,0.000119
epoch:15,0.7214,0.8606,0.8283,0.4881,0.7095,0.7215,0.7895,0.7960,0.7960,0.4875,0.7561,0.7963,0.0541,0.000039
epoch:16,0.7224,0.8612,0.8294,0.4881,0.7069,0.7224,0.7903,0.7969,0.7969,0.4875,0.7546,0.7972,0.0540,0.000039
epoch:17,0.7221,0.8615,0.8288,0.4881,0.7143,0.7222,0.7897,0.7963,0.7963,0.4875,0.7630,0.7965,0.0538,0.000039
epoch:18,0.7223,0.8613,0.8275,0.4881,0.7017,0.7225,0.7902,0.7969,0.7969,0.4875,0.7492,0.7973,0.0537,0.000013
