epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,0.87653,2.038,1.221,0.56362,0.50986,0.52093,0.41191,0.7355,1.1633,1.0799,0.07003,0.00333,0.00333
1,0.82064,1.3009,1.1627,0.60026,0.53839,0.58394,0.45799,0.74984,1.009,1.0958,0.039964,0.0065974,0.0065974
2,0.84865,1.2597,1.1867,0.57841,0.50836,0.54295,0.41143,0.86663,1.1253,1.201,0.0098321,0.0097987,0.0097987
3,0.84355,1.21,1.188,0.63207,0.58784,0.61828,0.49149,0.72718,0.90111,1.0838,0.009703,0.009703,0.009703
4,0.8118,1.1326,1.168,0.6728,0.62082,0.68035,0.55773,0.67056,0.78441,1.036,0.009703,0.009703,0.009703
5,0.79391,1.0935,1.1568,0.65991,0.66248,0.69928,0.57918,0.63939,0.74764,1.0209,0.009604,0.009604,0.009604
6,0.7837,1.0673,1.1507,0.69174,0.65255,0.70604,0.59055,0.62751,0.71719,1.0059,0.009505,0.009505,0.009505
7,0.77607,1.0536,1.1456,0.68825,0.69796,0.73684,0.61989,0.60987,0.68017,0.98984,0.009406,0.009406,0.009406
8,0.77199,1.0397,1.1423,0.71529,0.6836,0.7426,0.62788,0.59863,0.65404,0.98047,0.009307,0.009307,0.009307
9,0.76818,1.0311,1.1401,0.71505,0.71194,0.7571,0.64345,0.59226,0.63952,0.97679,0.009208,0.009208,0.009208
10,0.76544,1.0223,1.1379,0.72412,0.70249,0.75744,0.64541,0.58581,0.62552,0.9703,0.009109,0.009109,0.009109
11,0.7605,1.0139,1.1341,0.72155,0.71376,0.76251,0.65023,0.58086,0.62084,0.96768,0.00901,0.00901,0.00901
12,0.75928,1.0091,1.1335,0.71721,0.72195,0.76799,0.65684,0.57674,0.61023,0.96514,0.008911,0.008911,0.008911
13,0.75832,1.0055,1.1342,0.72711,0.72105,0.7714,0.66039,0.57518,0.60633,0.9643,0.008812,0.008812,0.008812
14,0.75619,1.0014,1.1318,0.72296,0.72963,0.7746,0.66358,0.57316,0.6025,0.96305,0.008713,0.008713,0.008713
15,0.75373,0.99488,1.1312,0.73405,0.72314,0.7764,0.66603,0.57138,0.59876,0.96154,0.008614,0.008614,0.008614
16,0.75248,0.99325,1.1299,0.74429,0.71761,0.777,0.66709,0.56999,0.59671,0.96018,0.008515,0.008515,0.008515
17,0.75122,0.98931,1.1291,0.74039,0.71995,0.77823,0.66797,0.56923,0.59422,0.95943,0.008416,0.008416,0.008416
18,0.74966,0.98603,1.1272,0.74103,0.72353,0.77931,0.66922,0.56889,0.59294,0.95889,0.008317,0.008317,0.008317
19,0.74844,0.98469,1.1283,0.7421,0.7227,0.78065,0.67046,0.56835,0.59163,0.95843,0.008218,0.008218,0.008218
20,0.74695,0.98251,1.1275,0.73807,0.73054,0.78136,0.67121,0.56769,0.59052,0.95794,0.008119,0.008119,0.008119
21,0.74571,0.97622,1.126,0.74283,0.72696,0.78212,0.67196,0.56739,0.58931,0.95756,0.00802,0.00802,0.00802
22,0.74525,0.97399,1.1254,0.74228,0.72717,0.78259,0.67267,0.56705,0.58808,0.95724,0.007921,0.007921,0.007921
23,0.74429,0.97147,1.1241,0.7431,0.72645,0.78348,0.67339,0.56668,0.58713,0.95693,0.007822,0.007822,0.007822
24,0.74278,0.96817,1.1238,0.7454,0.72522,0.78479,0.67479,0.56635,0.58613,0.95662,0.007723,0.007723,0.007723
25,0.74173,0.96819,1.1232,0.73985,0.73006,0.78494,0.67513,0.56613,0.58516,0.95635,0.007624,0.007624,0.007624
26,0.74113,0.96546,1.122,0.74158,0.73142,0.78582,0.67585,0.56591,0.58446,0.95606,0.007525,0.007525,0.007525
27,0.73976,0.96244,1.1214,0.7436,0.7289,0.78627,0.67613,0.56556,0.5838,0.95571,0.007426,0.007426,0.007426
28,0.73781,0.95973,1.1201,0.74278,0.72756,0.78637,0.67637,0.56529,0.58331,0.95537,0.007327,0.007327,0.007327
29,0.73684,0.95467,1.1196,0.72959,0.74222,0.78684,0.67665,0.56513,0.58276,0.95517,0.007228,0.007228,0.007228
