                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.84497,                  1.696,                 1.2272,                0.69758,                0.52651,                0.57291,                0.45634,                0.72477,                 1.0258,                 1.0674,               0.070006,              0.0033326,              0.0033326
                      1,                0.83459,                 1.1354,                  1.199,                0.60742,                0.57265,                0.61963,                0.50471,                0.67744,                0.86991,                  1.037,               0.039346,               0.006006,               0.006006
                      2,                0.84156,                 1.0762,                 1.2053,                0.68336,                0.60534,                0.65801,                0.54563,                0.64031,                0.77773,                  1.008,              0.0080264,              0.0080194,              0.0080194
                      3,                0.79676,                0.97964,                 1.1701,                0.70986,                0.62049,                0.68527,                0.57246,                0.62289,                 0.7378,                0.99369,                0.00703,                0.00703,                0.00703
                      4,                0.76468,                 0.9145,                 1.1472,                0.70436,                 0.6347,                0.70082,                0.58903,                0.61195,                0.71516,                0.98481,                0.00703,                0.00703,                0.00703
                      5,                0.73108,                0.85208,                  1.122,                0.71211,                0.64308,                0.71054,                0.59948,                 0.6049,                0.69783,                0.97836,                0.00604,                0.00604,                0.00604
                      6,                0.70613,                0.80471,                  1.104,                0.69964,                 0.6521,                0.71893,                0.60871,                0.59837,                 0.6823,                0.97265,                0.00505,                0.00505,                0.00505
                      7,                0.68455,                0.76372,                  1.089,                  0.694,                0.66997,                0.72747,                0.61842,                0.59114,                0.66633,                0.96646,                0.00406,                0.00406,                0.00406
                      8,                0.66387,                0.72281,                 1.0744,                0.69545,                0.68246,                0.73697,                0.62856,                0.58405,                 0.6508,                 0.9607,                0.00307,                0.00307,                0.00307
                      9,                 0.6419,                0.68279,                 1.0595,                0.70247,                 0.6985,                0.74671,                0.63881,                0.57782,                0.63641,                0.95529,                0.00208,                0.00208,                0.00208
