               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049126,            0.028151,            0.055341,             0.37052,             0.25056,             0.15215,            0.074798,            0.033379,            0.012074,            0.041564,             0.07006,           0.0033267,           0.0033267
                   1,             0.03661,             0.02243,            0.041787,             0.38888,              0.4005,             0.29589,             0.18689,            0.027088,            0.010756,            0.030931,            0.040038,            0.006638,            0.006638
                   2,            0.032828,            0.021089,            0.034133,             0.52756,             0.41434,             0.41737,             0.28453,            0.025089,            0.010962,            0.025403,            0.009994,           0.0099274,           0.0099274
                   3,            0.030184,            0.020886,            0.030444,             0.57509,             0.42895,             0.43078,             0.28626,            0.027231,            0.011933,            0.024397,            0.009901,            0.009901,            0.009901
                   4,            0.028777,            0.020577,            0.028918,              0.6232,             0.46663,             0.48852,             0.34103,            0.023884,             0.01064,             0.02392,            0.009901,            0.009901,            0.009901
                   5,            0.028091,            0.020139,            0.028092,             0.68018,             0.49096,             0.52722,              0.3692,            0.022823,            0.010483,             0.01996,            0.009868,            0.009868,            0.009868
                   6,            0.027554,            0.020055,            0.027602,             0.67712,             0.50101,             0.53899,             0.38602,            0.022188,            0.010155,              0.0199,            0.009835,            0.009835,            0.009835
                   7,            0.027289,            0.019933,            0.027141,             0.69076,             0.48713,             0.52613,             0.37104,            0.024002,            0.010422,            0.020857,            0.009802,            0.009802,            0.009802
                   8,            0.027018,            0.019815,            0.026904,             0.67846,             0.50097,             0.53776,             0.38106,            0.023066,            0.010295,            0.020252,            0.009769,            0.009769,            0.009769
                   9,            0.026857,            0.019708,            0.026703,             0.70231,             0.52356,             0.56816,             0.41488,            0.021428,           0.0096089,            0.018195,            0.009736,            0.009736,            0.009736
                  10,            0.026693,            0.019682,            0.026636,             0.70824,             0.53255,             0.57879,             0.43015,            0.020776,           0.0095121,            0.017664,            0.009703,            0.009703,            0.009703
                  11,            0.026556,            0.019603,            0.026365,             0.71985,             0.53859,             0.58815,             0.44324,            0.020763,           0.0093576,            0.018181,             0.00967,             0.00967,             0.00967
                  12,            0.026413,            0.019432,            0.026232,             0.72652,             0.54771,             0.60567,             0.45653,            0.020147,           0.0091679,            0.016775,            0.009637,            0.009637,            0.009637
                  13,            0.026322,            0.019437,            0.026234,             0.73793,             0.56907,             0.62533,             0.47708,            0.019786,           0.0088426,            0.016759,            0.009604,            0.009604,            0.009604
                  14,            0.026178,            0.019308,            0.026071,             0.72136,             0.57641,             0.62703,              0.4814,            0.019499,           0.0087718,            0.016381,            0.009571,            0.009571,            0.009571
                  15,            0.026148,            0.019418,            0.025939,             0.70334,             0.60508,             0.64167,             0.49479,            0.019075,           0.0086367,            0.015535,            0.009538,            0.009538,            0.009538
                  16,            0.026053,            0.019316,            0.025949,             0.69374,             0.60654,             0.65165,             0.50442,            0.019107,           0.0085379,            0.015515,            0.009505,            0.009505,            0.009505
                  17,            0.025942,            0.019233,            0.025698,             0.71899,             0.60518,             0.65881,             0.51241,            0.018774,            0.008434,            0.015066,            0.009472,            0.009472,            0.009472
                  18,            0.025957,            0.019236,            0.025625,             0.71665,             0.61089,             0.66327,             0.51642,            0.018702,           0.0084136,            0.014621,            0.009439,            0.009439,            0.009439
                  19,            0.025747,            0.019205,            0.025598,             0.70455,             0.61883,             0.66318,             0.51704,            0.018538,           0.0083699,            0.014857,            0.009406,            0.009406,            0.009406
                  20,            0.025766,            0.019145,            0.025619,             0.71153,             0.62173,              0.6689,              0.5227,            0.018587,           0.0083102,            0.014612,            0.009373,            0.009373,            0.009373
                  21,            0.025616,            0.019225,            0.025523,             0.72459,             0.61703,             0.67238,             0.52572,            0.018502,           0.0083005,            0.014321,             0.00934,             0.00934,             0.00934
                  22,            0.025589,            0.019106,            0.025225,             0.72716,             0.62167,             0.67388,             0.52802,            0.018429,           0.0082594,            0.014484,            0.009307,            0.009307,            0.009307
                  23,             0.02557,            0.019055,            0.025416,             0.72569,             0.62337,             0.67344,             0.52844,            0.018296,           0.0082379,            0.014289,            0.009274,            0.009274,            0.009274
                  24,            0.025498,            0.019046,            0.025307,             0.73021,             0.62494,             0.67706,             0.53208,            0.018231,           0.0082159,            0.014245,            0.009241,            0.009241,            0.009241
                  25,            0.025545,            0.019034,            0.025293,             0.73142,             0.62641,             0.67894,             0.53425,            0.018258,            0.008194,            0.014212,            0.009208,            0.009208,            0.009208
                  26,            0.025428,            0.019006,            0.025328,             0.74042,             0.62026,             0.68033,             0.53572,            0.018201,           0.0081717,            0.014197,            0.009175,            0.009175,            0.009175
                  27,              0.0254,            0.019052,            0.025161,              0.7346,             0.62831,              0.6811,             0.53664,            0.018158,           0.0081525,            0.014225,            0.009142,            0.009142,            0.009142
                  28,            0.025339,             0.01902,            0.025202,             0.73342,             0.62863,             0.68154,             0.53756,            0.018119,           0.0081344,            0.014186,            0.009109,            0.009109,            0.009109
                  29,            0.025229,            0.018974,            0.025048,             0.73112,             0.62879,             0.68163,             0.53771,            0.018055,           0.0081213,            0.014099,            0.009076,            0.009076,            0.009076
                  30,            0.025272,            0.018958,            0.025097,             0.73277,             0.62822,             0.68222,             0.53853,             0.01805,           0.0081148,            0.014044,            0.009043,            0.009043,            0.009043
                  31,            0.025248,            0.018932,            0.024926,               0.733,             0.63068,             0.68272,             0.53936,            0.018042,           0.0081097,            0.014002,             0.00901,             0.00901,             0.00901
                  32,             0.02523,            0.018922,            0.025116,             0.73027,             0.63259,             0.68326,             0.53992,            0.018031,           0.0081053,            0.013992,            0.008977,            0.008977,            0.008977
                  33,            0.025196,            0.018898,            0.024947,             0.73161,              0.6324,             0.68326,             0.53998,            0.018015,           0.0081012,            0.013976,            0.008944,            0.008944,            0.008944
                  34,            0.025121,            0.018905,            0.024833,             0.72955,             0.63415,             0.68333,             0.54025,            0.018001,           0.0081002,            0.013974,            0.008911,            0.008911,            0.008911
                  35,            0.025156,            0.018881,            0.025014,             0.73322,             0.63325,             0.68349,             0.54066,            0.017996,           0.0080977,            0.013977,            0.008878,            0.008878,            0.008878
                  36,            0.025167,            0.018786,            0.024921,             0.73379,             0.63279,             0.68378,             0.54094,            0.017996,            0.008097,            0.013991,            0.008845,            0.008845,            0.008845
                  37,            0.025092,            0.018872,            0.024882,             0.73404,             0.63302,             0.68362,             0.54073,            0.018003,           0.0080961,            0.013973,            0.008812,            0.008812,            0.008812
                  38,            0.025033,            0.018888,            0.024836,             0.73074,             0.63579,             0.68374,             0.54103,               0.018,           0.0080955,            0.013989,            0.008779,            0.008779,            0.008779
                  39,            0.025022,            0.018848,            0.024842,             0.73118,             0.63606,             0.68379,             0.54096,            0.018002,           0.0080944,            0.013995,            0.008746,            0.008746,            0.008746
                  40,            0.024911,            0.018847,             0.02478,             0.72987,             0.63708,             0.68376,             0.54103,            0.018011,           0.0080963,             0.01401,            0.008713,            0.008713,            0.008713
                  41,            0.024992,            0.018776,            0.024821,             0.72928,             0.63639,             0.68393,             0.54114,            0.018015,           0.0080977,            0.013985,             0.00868,             0.00868,             0.00868
                  42,            0.024922,            0.018753,            0.024811,             0.72985,              0.6366,             0.68412,             0.54128,            0.018024,           0.0080987,            0.013982,            0.008647,            0.008647,            0.008647
                  43,            0.024936,            0.018773,            0.024818,             0.72724,             0.63809,             0.68412,             0.54141,            0.018035,           0.0080991,             0.01398,            0.008614,            0.008614,            0.008614
                  44,            0.024839,            0.018793,            0.024613,             0.72692,             0.63735,              0.6839,             0.54127,            0.018051,           0.0081027,            0.013974,            0.008581,            0.008581,            0.008581
                  45,            0.024897,            0.018794,            0.024556,             0.72898,             0.63597,              0.6839,             0.54122,            0.018065,           0.0081062,            0.013978,            0.008548,            0.008548,            0.008548
                  46,            0.024852,             0.01875,            0.024592,             0.72804,             0.63481,             0.68384,             0.54112,            0.018075,           0.0081111,            0.013989,            0.008515,            0.008515,            0.008515
                  47,            0.024827,            0.018671,            0.024694,             0.72719,             0.63638,             0.68394,             0.54112,            0.018087,            0.008115,            0.013995,            0.008482,            0.008482,            0.008482
                  48,            0.024754,            0.018728,            0.024675,               0.728,             0.63382,             0.68379,             0.54092,            0.018103,           0.0081211,            0.014002,            0.008449,            0.008449,            0.008449
                  49,            0.024698,             0.01869,            0.024456,             0.72708,             0.63454,             0.68356,             0.54065,            0.018113,           0.0081269,            0.013995,            0.008416,            0.008416,            0.008416
                  50,            0.024693,            0.018696,            0.024506,              0.7287,             0.63404,             0.68367,             0.54059,            0.018123,           0.0081315,            0.013997,            0.008383,            0.008383,            0.008383
